f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[30 21],[64 78],4,48,[ 4 27],[86 48],[[30 32 72 72]; [80 92 50 78]],[[ 16   0  16  54]; [ 68   4 102  82]],[10 32 78 26],[66  4 26 24]
[35 24],[88 30],44,16,[1 4],[93 82],[[98 26 28 44]; [10 84 78 88]],[[68 60 54 20]; [44 98 32 32]],[ 80  32 104  46],[32 24 26 10]
[ 75 104],[96 42],28,36,[64 20],[51 16],[[70 42 92 88]; [ 8 50 42 70]],[[ 98  18  30 104]; [ 36  70  98  40]],[46 66 42 66],[32 28 44 50]
[55 68],[12 52],100,32,[38  8],[31 32],[[52 50  8  4]; [74 26 58 24]],[[90 36 62 14]; [36 56 50 74]],[90 14  0 34],[80 52 76 98]
[13 25],[79 77],8,14,[93 61],[87 76],[[98 10 46 86]; [22  2 68 64]],[[30 92 90 62]; [18 54 26 32]],[42 50 40 60],[96 58 54 54]
[ 7 61],[ 44 103],70,16,[32 73],[ 8 27],[[86 20 10 84]; [78 26  4  6]],[[64 60 24 16]; [86 46  2 92]],[ 2 38 38 66],[62 96 76 46]
[84 16],[88 49],20,38,[85 77],[16 56],[[82 50 86 86]; [30 24 56 76]],[[ 30  50  36  84]; [100  10  62  22]],[74 14 12 18],[24 46 26 60]
[33  5],[46 63],100,16,[98 49],[102  35],[[ 68  66  66  50]; [ 12 104  70  88]],[[ 48 104  84  42]; [ 80  24  26  18]],[26 58 30  4],[22 70 56 94]
[92 90],[70 52],42,44,[74 33],[79 36],[[22  2  6 24]; [30 46 92 76]],[[ 44  74  42  98]; [104   2  64   8]],[82 94 40 60],[92 86 36 66]
[94 28],[74  7],32,78,[20 15],[ 4 98],[[ 64  46  76  76]; [ 12 102  92  14]],[[ 52  58  56  62]; [ 84  50  10 100]],[ 60   6  76 104],[ 6 36 86 82]
[64  8],[82 80],16,60,[23  7],[68 33],[[80 10 22 70]; [60  2 44 98]],[[58 96 70 66]; [30 42  6 86]],[ 16 100  14  36],[98 22 36 96]
[ 5 55],[28 96],42,22,[9 7],[ 0 68],[[88 10 76 66]; [74 66 68 28]],[[102 100  18  24]; [ 64  24  44  68]],[10 38 58 34],[98 86 30 86]
[65 45],[22 80],92,2,[50  3],[25 18],[[ 84  16  66 100]; [ 90  80  60  14]],[[36 22 98 30]; [20 34 12 70]],[100  38  26  16],[72 84 56 22]
[73 77],[ 9 16],62,82,[95 34],[45 33],[[ 20   2   6  74]; [102  74  60  58]],[[12 34 56 84]; [ 0 64 60 18]],[12  4 78 12],[48 50 92 40]
[35 33],[ 99 102],38,82,[68 25],[54 93],[[ 90  88  38   0]; [ 66  46  36 100]],[[ 22  34  32  28]; [ 20   8 104  90]],[88 18 84 74],[ 94  98 100  64]
[62 73],[31 77],10,30,[25 26],[87  7],[[74 42 76 14]; [72 98  6 78]],[[10  6 54 26]; [14 28 20 24]],[18 10 44 14],[102  28  44  66]
[ 3 95],[38 32],16,10,[25 28],[99 21],[[42 78 28 60]; [56 46 72 52]],[[  8  76  72  80]; [104  94 102  98]],[64 22 82 92],[22 70 32 20]
[94 54],[16 86],62,52,[28 16],[46 20],[[84 38 14 48]; [72 60 10 34]],[[100 104  98   4]; [ 62  38  10  22]],[38  2 86 78],[10 58  2 82]
[51 84],[78 14],54,34,[57 29],[64 56],[[ 94  84  90  24]; [104  94  98  10]],[[76 42 98 12]; [58 16 88 82]],[96 36 84 86],[100  34  22  54]
[70 14],[40 10],36,30,[99  0],[32 18],[[  6  64  84 104]; [ 68   0  96   4]],[[54 16 94 58]; [24 66 46 36]],[ 76  64  96 102],[38  4 42 88]
[48  7],[25 48],48,98,[52 55],[80 27],[[12 14 94 38]; [76 78  0 72]],[[62 54 14  0]; [72  4 64 36]],[46 94 80 24],[18 10 68 14]
[ 2 35],[24 57],28,2,[71 23],[77 97],[[ 42  52  52  44]; [ 38 102  34  20]],[[ 8 28  0 18]; [64 44 82 34]],[74 24 28 98],[98  4  2 14]
[64 99],[ 1 96],76,14,[68 89],[ 84 104],[[ 32  56  72  52]; [ 94  94 102  98]],[[ 32   2  90  10]; [ 40  84  70 102]],[92  6 26  0],[96 36  4 96]
[56 95],[13 45],64,38,[73 55],[39  9],[[60 38 94  6]; [40 50 98 60]],[[ 2 32 58 84]; [40 50 30 62]],[38 74 56 76],[58 22 12  2]
[44 95],[85 14],36,18,[33 27],[103  99],[[56 26  0 34]; [62 82 10 54]],[[  4  14  20  92]; [102  76  52  36]],[98 74 50 16],[ 6 78  8 78]
[66 44],[100  73],56,84,[31 63],[41 72],[[ 60  50  30 100]; [ 36  20  76   0]],[[ 20  92  58  10]; [ 74 100  16  42]],[ 8 88  4 74],[80 68 20 96]
[73 90],[41 31],28,64,[40 32],[43  4],[[66 52 30 84]; [74 72 70 82]],[[72 40  0  0]; [26 66 86 64]],[10 58 90 40],[ 94  10 100  58]
[48 25],[94 81],70,34,[12 45],[ 8 97],[[ 38 100  34   6]; [ 28  68  98  26]],[[92 30 70 96]; [42 56 58 50]],[86 12 74 44],[ 22  76  10 100]
[72 30],[24 59],86,78,[79  5],[49 70],[[ 74 102  26  44]; [100  72  50  24]],[[102  96  30  66]; [ 38  32  28  86]],[18 86 70 84],[14 56 92 14]
[36 76],[94 98],54,40,[87 81],[10 88],[[ 90  80   6  76]; [100  66  62  56]],[[ 24 104  96  28]; [ 90  62  48  38]],[88 50  8 12],[24 68 14 38]
[102  10],[17 91],98,80,[23  5],[63 35],[[ 8 10 86 56]; [52 46 16 30]],[[42 86 88 78]; [ 2 46 60  6]],[90 18 44 50],[36 86 80 56]
[18 12],[104  94],58,98,[80 99],[71 23],[[12 60 64 24]; [94 46 76 14]],[[24 54 28 32]; [12 88 16 68]],[ 8 22 94 48],[92 38  4 32]
[12 16],[56 52],32,76,[94 73],[98  7],[[ 32  50  92  62]; [ 72 102  70  62]],[[30 40 56 30]; [20 68 58  0]],[40 34 54 36],[42 14 56  4]
[71 40],[27 76],4,86,[36 45],[39 21],[[ 40  36   0  68]; [ 34 102   0   8]],[[82 84 50 42]; [68  2 42 60]],[14 34  6 62],[86 58 56 40]
[71 52],[72 47],8,28,[73 40],[80 68],[[104  94  46  28]; [ 86  98  36  14]],[[48 38 96 52]; [54 16 14 72]],[80 16 48 94],[100  42   0  68]
[90 51],[ 3 19],48,2,[25 24],[ 6 39],[[ 22  92  60   6]; [ 92  94 100  58]],[[92 24 48 98]; [66  8 30 40]],[30 66 34 52],[42 52 18 18]
[62 47],[93 31],98,60,[41 94],[37 93],[[60 70 30 12]; [60 84 46 18]],[[86 42 84 60]; [48 66 62 84]],[46 24 72  2],[54 82 76 60]
[95 56],[13 17],64,82,[43 50],[24 25],[[24 34 70  6]; [22 18 98 12]],[[100  26  40  66]; [ 80  42  66  28]],[ 72  20  14 102],[26 56 90  2]
[ 4 27],[17 27],82,76,[44 38],[37 60],[[100  86  32   8]; [ 44  44  60  52]],[[ 60  82  62  26]; [ 26  68 104 102]],[104  28  76  44],[ 0 54 96 64]
[81  1],[58 95],20,38,[71 10],[41 74],[[ 44  76  98 102]; [ 88  70  84  26]],[[10 12 10  2]; [12 76 22  0]],[50  4  4 88],[80 42 60 80]
[85 64],[ 59 101],32,74,[ 20 100],[74 95],[[100  34  10  34]; [ 46 100  70  78]],[[72 44  8 44]; [90 94 42 12]],[ 36 100  68 100],[36 76  8 80]
[11 21],[65 73],6,2,[ 0 52],[19 20],[[102  52  68  82]; [ 88  24  26  94]],[[ 78  42  92  34]; [100  50  26  80]],[18  6 30 52],[ 24 104  26   2]
[65 26],[24 35],76,94,[12 96],[74 34],[[22 76 60 50]; [48 92 24 34]],[[82 58 94 78]; [88 26 94 72]],[32 16 40 10],[ 6 50 28 64]
[83 19],[20 36],2,56,[12 15],[67 25],[[22 88 62 20]; [24 16 94 18]],[[60 58 28 12]; [82 14 96  4]],[ 44  90 102  24],[18 64 74 14]
[74 43],[15 64],72,84,[50 41],[13 98],[[80 66 82 24]; [ 8 34 66 84]],[[ 90  70   2  14]; [  6 102  64  56]],[42 80 82 74],[94 52 48 26]
[28  1],[61  1],56,16,[56 42],[95  2],[[ 18  70  60 102]; [ 54  90   8  76]],[[28  8 98 66]; [18 24 34 66]],[ 6 96 64 60],[ 72  44  34 100]
[104  78],[33 92],32,20,[91 50],[102   8],[[22 42 30 24]; [76  4 20 32]],[[ 80  88  14  36]; [ 30  50 100  66]],[ 22  60 104  72],[88 86 92 64]
[57 67],[48 93],88,68,[77  0],[37 29],[[34 30 82 26]; [54 76  0 48]],[[100 102  32  32]; [ 58  64  88   4]],[74 20  6 14],[ 76 100  14  14]
[19 88],[81 81],26,10,[96 40],[48 31],[[86 96 54 64]; [98 54 82 28]],[[14 36  8 38]; [92 26 16 86]],[46 22 96 68],[ 8 48 64 50]
[62 95],[103  81],96,12,[64 46],[48 67],[[84 38 20 14]; [10 74  6 90]],[[ 18  24  10  72]; [ 44  16  86 100]],[102  36  66  50],[ 40 100  70  28]
[51 44],[30 73],16,84,[86 85],[18 68],[[20 18 92 92]; [64 48  8  2]],[[70  2 32 10]; [12 36 14 82]],[ 70 104  12  22],[74 86 36 88]
[75 49],[30 89],64,30,[27 50],[ 5 63],[[42 96 44 22]; [64 62 98 58]],[[  6  96  10 100]; [ 46  72  16  64]],[34 36 64 84],[74 96  8 46]
[65 49],[98 90],80,82,[79 84],[42 20],[[32 54 26 74]; [38 48 58 14]],[[ 88  64  72  10]; [ 66 102  46  64]],[48 36 46 90],[ 0 74 18 72]
[94 89],[66 45],20,56,[31 30],[79 85],[[32  2 96 86]; [ 8 88 14 10]],[[42 24 36 88]; [82 42  8  2]],[ 56  38 100 102],[78 70  8 84]
[84 87],[ 80 101],58,64,[ 7 14],[ 9 75],[[12 58 32 48]; [96 50 40 68]],[[26 52 68 34]; [56 90 42 24]],[100  30  78  28],[ 80  82  54 104]
[46 92],[84 87],10,4,[ 9 53],[ 4 96],[[ 66  92  42  78]; [100  52  42   0]],[[104  70  32  50]; [ 86 104  98  18]],[36 66 70 70],[100  98  72  24]
[12 77],[86 58],40,30,[44 70],[60 86],[[72 66 66 72]; [90 18 46  2]],[[ 30 100  92  64]; [ 48  30  64 104]],[20 80 46 98],[58 54 20 40]
[79 51],[57 44],98,66,[24 58],[100  22],[[ 4 50 32 26]; [24  2 32 66]],[[62 58 26 46]; [34 54 12 46]],[34 20 54 60],[24 82 86 92]
[26  5],[12 51],24,76,[44 49],[24 90],[[ 80 104  62  50]; [ 18  98  88  64]],[[ 88 104  54  14]; [ 20  68   8   8]],[74 88 78 92],[34 60 76 86]
[96 56],[10 66],14,24,[24 84],[73 42],[[ 96  68  24  68]; [  2  58  42 104]],[[82 34 98 66]; [ 2  0 72 64]],[90 48 52 58],[52 40 22 70]
[ 20 104],[31 71],20,84,[104  34],[ 80 103],[[ 60 104  28  32]; [ 20  92  84  84]],[[88 22 44  0]; [64 36  2  0]],[56 10 92 72],[16 48 24 26]
[12 22],[47 20],24,92,[90 64],[66 97],[[40 18  2 42]; [16 12  4 28]],[[54 34 24 74]; [36 12 20 26]],[24 90 18 32],[24 20  8 20]
[ 5 96],[35  6],84,78,[26 48],[ 66 104],[[ 0 62 60 82]; [36 36 50 12]],[[ 22  62  68  96]; [ 88 100  66   4]],[62 56 42  4],[104  56  74  96]
[99 61],[92 33],88,8,[21  0],[44 91],[[64  4 86 94]; [16 44 62 10]],[[36 76 52 44]; [36 78 60 60]],[76 30 36 86],[18 46 96  2]
[100  82],[73 87],98,64,[70 55],[22 90],[[20 92 52 16]; [26  0 56 26]],[[ 60  92 100  66]; [ 18  22  94  24]],[ 46 104  52  26],[ 44  48 102  84]
[44 42],[42 17],20,82,[44 47],[ 9 39],[[90 44 58 50]; [60  4 96 38]],[[ 74  78  94   8]; [ 16  48  76 102]],[ 34  52 104  50],[58 14 14 18]
[78 39],[99 37],18,44,[101  48],[26 50],[[18 44  6 92]; [76 32 60 64]],[[ 98 100  26  96]; [ 16 100  80  54]],[104  72  70 102],[12 12 50 86]
[88 66],[ 36 103],18,58,[49 72],[73 78],[[16 82 40 58]; [12 70 82 60]],[[26 50 98  2]; [18  2 84 66]],[72 38 52 92],[ 92  64  20 100]
[63 48],[30 54],36,38,[39 22],[18 73],[[ 26 102  64  56]; [ 66  46  26  44]],[[40 74  4 98]; [82 68 64 80]],[ 38  40 104 102],[ 10 100   0  46]
[76 48],[20 35],34,60,[93 66],[94 13],[[ 54  78  20  96]; [ 28  44 102 102]],[[26 68 50 28]; [44 86 56  4]],[40 10 32 90],[10 34  2 96]
[19 30],[ 62 101],94,24,[51 43],[20 88],[[ 94  82  44  80]; [ 10 102  38  78]],[[ 28  48  32  68]; [  4  66 104  84]],[ 8 66 60  2],[60 52 38 28]
[ 33 104],[ 21 100],48,6,[16 60],[38 82],[[54 12 90 62]; [16 24 94 10]],[[32  8 44 30]; [96 76 88  0]],[60 90 62 86],[92 80 44 24]
[37 88],[11 95],2,26,[103  18],[99 47],[[100  92  86  82]; [ 84  84  34  44]],[[92 70  2 20]; [58  6 12 72]],[32 96 10 20],[52 60  6 66]
[17 87],[45 68],16,30,[38 72],[85 33],[[44 22 34 66]; [94 92 50 74]],[[64 42 10 82]; [48 84 88 88]],[52 90 44 52],[96 10 56 96]
[47 31],[47 97],28,52,[77  6],[64 84],[[20 16 66 50]; [38 64 86 54]],[[72 18 90 60]; [38 52  6 12]],[60 66 62 30],[  8 100   8  74]
[102  60],[24 13],12,80,[3 2],[58 79],[[28 80  6 76]; [58 82 16 14]],[[  6  88  44   8]; [ 50  52 102 104]],[82 24 16  6],[70 14 44 10]
[83 46],[83  3],72,58,[42 53],[77 89],[[ 88  72  86  88]; [ 46 104  20  14]],[[18  0 48 66]; [84 46 84 32]],[ 2 14 16 82],[32 82 52 48]
[ 6 10],[16 92],94,80,[ 0 32],[92 67],[[48 16 74 84]; [ 2 52 38 64]],[[80  8 32  4]; [48  6 10 68]],[ 8 44 22 60],[  4  60  80 104]
[36 40],[51 14],66,14,[77 30],[ 1 13],[[ 6 96 32 82]; [52 10 96 42]],[[102  24  28  90]; [ 16  22  30  94]],[92 10 46 38],[16 78 68 94]
[102  60],[96 68],28,20,[39 41],[14 20],[[98 66 48 16]; [88 46 64 68]],[[ 48  84  20  42]; [  0  94 104  12]],[82  2 58 90],[60 38 20 16]
[66 45],[31 15],70,38,[13 16],[38 38],[[ 34  68  80  60]; [ 20   6 102  34]],[[62 82 64 30]; [46 30 10 94]],[  0  94 104 102],[40 16 28 94]
[ 9 97],[13  8],10,78,[10 85],[9 3],[[ 74  54  20 104]; [ 50  42   2  92]],[[40 52 46 86]; [46 94 80 84]],[20 74 76  2],[48 88 96 30]
[89 71],[35 16],92,24,[ 2 70],[23 57],[[ 70  96 100  62]; [ 54  58   8  42]],[[38 98 16  2]; [78 26 64 66]],[80 12 20 92],[84 60 54  8]
[76 51],[85 57],66,34,[94 21],[31 30],[[98 30 14 48]; [14 36 22 26]],[[26 40 64 26]; [16 68 42 40]],[46 24 22 44],[48 52  4 24]
[ 4 35],[ 9 72],100,36,[55 63],[95 48],[[ 64  58  66  38]; [ 74  12  58 102]],[[ 2 88 10 38]; [22 12 84 96]],[22 66  0 28],[82 78 24 84]
[94 62],[36 54],34,74,[72 26],[53 70],[[42 74 32 20]; [20 30 76 40]],[[78 92 22 64]; [44 40 72 96]],[62 74 44 30],[64 86 76 30]
[60 75],[74 32],76,4,[12 94],[65 66],[[42 54 92 16]; [86 82 60 10]],[[52 26 52 90]; [58  4 22 86]],[100  90   4  54],[32 50  4 88]
[24 85],[46 40],14,48,[46 75],[93 26],[[44 58 20 52]; [66  8 74 30]],[[62 86 86 24]; [10 22 72  8]],[102  56   0   6],[ 4 74 32 36]
[31 73],[24 95],36,36,[10 27],[69 70],[[ 38  82  92  88]; [ 20 100  62  30]],[[40 20  4 36]; [14 32 88 44]],[ 8 60 72 22],[94 18 98 18]
[71  7],[51 90],26,90,[73 69],[71 40],[[40 60 66 70]; [96 72 28 34]],[[58 50 96 60]; [52 26 94 20]],[32 52 50 44],[ 38 100  76  30]
[82  9],[23 52],92,12,[73 84],[59 64],[[ 2  4 80  4]; [68 66 76 16]],[[10 50 12  0]; [68 52 30 66]],[84 78 98 48],[54  2 18 98]
[ 74 101],[37 96],48,16,[18 54],[97 71],[[52 52 10 18]; [22 68 64 40]],[[84 88 60 56]; [78 56 20  2]],[78 46 12  0],[28 12 54 12]
[70 66],[22 89],80,58,[50 66],[82 31],[[56 88 72 58]; [42 28 40 82]],[[22  8 82 76]; [40  0 28 24]],[36 30 46 66],[  4  94  32 100]
[37 80],[81 67],24,24,[80 31],[59 12],[[42 48  2 78]; [12 36 50 96]],[[ 86   8 104  48]; [ 88  94  20  70]],[ 4 24 58 32],[16 66  2 74]
[52 97],[ 8 96],96,48,[ 76 102],[2 3],[[26 98 96 96]; [70 46 38 58]],[[74 60  8 86]; [46 84 44  4]],[ 8 20 68 48],[40 62 40 68]
[13 44],[43 28],94,12,[94 46],[ 3 19],[[62 86 82 64]; [48 22 66 34]],[[ 46  98  20  40]; [ 90  30 100  22]],[28 60 74 84],[84 44 36 34]
[97 66],[17 98],76,60,[28 48],[38 79],[[62 68 14 76]; [58 26 70 48]],[[104  94  98  76]; [ 48  66  16  50]],[74 38 68 64],[ 2 30 70 86]
[ 7 94],[47 78],46,82,[75 98],[12 46],[[22 46 94 38]; [82 20 70 86]],[[100 100  90  66]; [ 34  94  98  38]],[ 18 102  82  16],[ 4 52 46 56]
[46  8],[78 39],68,6,[53 62],[28 15],[[98  0 52 60]; [86 64 70 26]],[[ 76  50  92 104]; [  0 102  74  54]],[16 86 94 18],[30 88 72  4]
[56 95],[67  2],52,98,[80 84],[101  93],[[ 46  80  60  42]; [ 28  22 104  42]],[[104  78  48  10]; [ 60  50  68  62]],[ 0 62 26 12],[60 54 80 82]
[71 81],[75  3],74,68,[72  7],[21 87],[[100  46 100  80]; [ 88  26  64  78]],[[30 30 96 22]; [68 16 48 72]],[78  8 70 92],[ 0  8 68 98]
[ 7 73],[60 75],40,80,[ 1 89],[72  6],[[86 64 52 58]; [44  2 10 40]],[[ 48 100  52  68]; [ 72  60  62   8]],[64 46 40 94],[14 72 64 84]
[23 95],[61 36],20,38,[65 71],[46 43],[[32  0 26 72]; [94  2 24 58]],[[88 48 16  8]; [ 0  4 40 24]],[94 22 50 96],[ 56  70  78 104]
[50 34],[99 26],44,4,[98 22],[17 44],[[  6  26 102 100]; [ 72  92  10  40]],[[10 34  6 18]; [32 76 54  2]],[92 14 92  0],[ 2  4 86 94]
[77  6],[51  2],4,100,[83 85],[38 90],[[92 34 10 20]; [12 58 96 76]],[[34 12 66 24]; [76  0 34 54]],[80 58 64 72],[50 66 66 12]
[19 83],[64 33],42,78,[25 40],[22 12],[[ 2  8 44 98]; [ 8 94 48 78]],[[78 90 80 54]; [56 82 72 78]],[96 38 66  6],[56 44 32 72]
[35  4],[24 55],12,80,[51 45],[34 65],[[100  46  26  10]; [ 84  96  60  52]],[[68 44 14 28]; [24 96  8 98]],[80 56 12 26],[76 96 52  2]
[ 9 91],[ 96 102],68,66,[43 53],[ 8 31],[[ 66  76  44  14]; [ 20  50 104  20]],[[32  0 72 62]; [68 38 72 30]],[54 70 30  6],[36 90 38 16]
[99 23],[47 55],28,78,[18 60],[54 57],[[60 66 64 72]; [32 42 72 42]],[[ 8 22 58  6]; [12 40 26 80]],[86 60 38 44],[20 62  0 58]
[55 41],[71 12],8,4,[31 10],[ 9 45],[[20 20 36 42]; [ 6 84 84 82]],[[34 62 30 48]; [ 0 68 30 94]],[ 80 102  72  48],[88 32 46 20]
[74  9],[83 48],86,22,[54 41],[23 46],[[80  0 42 22]; [48 98 62 10]],[[64 98 22 80]; [18 16 48 34]],[ 82  10 102  12],[ 40 100  36  76]
[44 49],[19  9],48,76,[96 78],[14 21],[[ 2 78 10  8]; [92 58 74 68]],[[ 22  28  26  82]; [  6 104   4  20]],[ 4  8 14  2],[50 96 88 34]
[10 86],[6 1],74,96,[ 8 78],[ 5 86],[[10 78 56 16]; [54 14 40 58]],[[14 10 90 52]; [74 88 70 16]],[40 38  0 30],[ 8 76 18 90]
[ 99 101],[30 85],58,68,[103  22],[17 40],[[54 12 64 50]; [ 6  6  8 48]],[[54 78 86 94]; [68 66 18  8]],[32 46 32 60],[88 78 50 26]
[42 53],[60 13],10,38,[ 88 102],[96 83],[[ 38  48  78  44]; [ 52 100  64  46]],[[54 16  4 66]; [70 36 50 40]],[96  4 98 64],[98  4 28 40]
[35 13],[89 13],18,58,[101   6],[54 66],[[54 96 46 68]; [32 28 86 54]],[[ 76  42  44  24]; [ 26  76 104  28]],[ 4 30 76 78],[58 80 86 66]
[104  77],[82 76],6,94,[ 1 41],[41 20],[[44 90 76 32]; [72 84 80 34]],[[ 34  66  84  80]; [ 28 104  94  32]],[10 90 82 70],[52 48 60 80]
[35 93],[37 43],78,42,[73 84],[24 71],[[  6   2  58   2]; [104  96  86  10]],[[74 84 64 62]; [96  4 44 58]],[80 84  0 48],[ 44  30  66 104]
[97 29],[27 23],74,20,[91 53],[ 2 43],[[ 70  82  14  66]; [ 36  30  76 100]],[[ 70  70   4 100]; [ 12  30  32  66]],[24 60 46 36],[58 24 76 32]
[31 71],[102  98],70,56,[ 3 33],[26 20],[[48 78 96 12]; [70 44 90 36]],[[ 8  4 40 62]; [50 42 14 98]],[94 38 92 32],[46 76 30 40]
[100  83],[27 72],86,78,[65 67],[ 34 102],[[ 8  2 96 28]; [34 42 58 16]],[[80 38 82 18]; [32 72 96 70]],[82 70 20 54],[64 14 48 94]
[7 5],[ 0 24],102,72,[10  2],[60 77],[[86 86 12 38]; [98 96 38 28]],[[  6  32  34  48]; [ 66   0  68 104]],[ 82 102  62 100],[54 56 58 94]
[18 61],[82 83],38,34,[15 13],[52 53],[[100  56  52  52]; [ 76  88  60   8]],[[70  8 76 32]; [ 0 32 10 42]],[48 64 64 54],[60 94 98 88]
[56  9],[35 96],86,42,[ 97 104],[44 45],[[  0  18 100  20]; [ 60  68  18  80]],[[ 14 104  38  74]; [ 26  56  92  78]],[ 6 58 52 82],[78 60 52 58]
[28  0],[44 66],54,56,[97 42],[92 80],[[78 18 16 54]; [86  4 18 82]],[[86 88 50 78]; [98 78 92 34]],[52 16 44 84],[44  8 36 58]
[37 43],[69 27],102,12,[43 82],[97 43],[[92 12 84 12]; [16 20 40 18]],[[ 66  48  64  54]; [ 64 104  68  28]],[46  6 12 62],[104  98  78  32]
[40 59],[ 4 90],6,38,[89 12],[48 40],[[ 58  32  52  70]; [102 102  46  28]],[[40 64 40 62]; [58 34  8  6]],[14 26  0  0],[82 66 42 90]
[ 3 87],[16 42],86,58,[57 30],[20 22],[[ 18  18  30  66]; [104  54  70  36]],[[38 84 54 94]; [70 26 20 16]],[ 66 102  24  60],[60 32 38 76]
[16 33],[ 55 104],36,18,[17 10],[ 0 38],[[32 38 58 66]; [20 84  4 90]],[[44 84 18 44]; [70 88 92 30]],[68 88 84 80],[62 24 44 24]
[79 23],[65 12],86,26,[38 72],[40  9],[[82 82 22 40]; [80  0 20 28]],[[60 26 18 56]; [94  2 82 76]],[86 76 18 38],[50 90 42 30]
[51 48],[51 95],68,88,[ 90 102],[89 98],[[ 90  94  64 102]; [102  68  82  16]],[[14 94 88 30]; [38 70 86 70]],[96 14 70 30],[92 28 96 98]
[33 88],[47 30],28,44,[46  8],[ 6 65],[[32 80 40 82]; [16 56 24 26]],[[88 56 14 34]; [88 60 18 14]],[70 30 50 76],[22 72 82 88]
[89 16],[63 78],44,46,[ 67 100],[56 25],[[86  0 64 18]; [52 34 14 60]],[[26 36 18 42]; [72 98  8 58]],[78 30 70 72],[24  0 28 22]
[28  1],[38 66],60,36,[96  6],[100  54],[[40 64 40 80]; [22 14 44 52]],[[ 44  66  12  78]; [104  14  42  52]],[102  28  92  22],[ 82 102  88  76]
[35 33],[20 68],72,46,[ 1 32],[68 58],[[14 10 92 60]; [28 86 56 32]],[[ 14  10  98  16]; [ 28 100  52  28]],[92 36  8 28],[56 54 76 42]
[14 96],[54 88],32,88,[66 43],[53 16],[[ 30  86  46 100]; [ 18  82  84  38]],[[94 96 98 86]; [42 74 98 92]],[32 46  0 26],[66 70 60  2]
[104  67],[35 66],102,32,[ 76 101],[44 19],[[ 78 100  38  64]; [ 34  34   6  30]],[[48 18 84 72]; [92 16 12 82]],[ 8 74 92 76],[ 80   4   4 104]
[42 25],[ 0 38],44,48,[56  2],[71 71],[[104  36  10  60]; [ 12 102  60  68]],[[16  4 34  8]; [46 46 72 54]],[64  8 68 16],[68 20 76 28]
[100  55],[82 52],26,74,[55 57],[17 55],[[60  0 84 42]; [ 4  4 80 28]],[[ 40  72  72 102]; [ 48  94  94  18]],[72 86 88  8],[10 86 98 80]
[ 7 55],[17 77],102,82,[96 12],[42 47],[[ 10  66  52  32]; [ 78  32 102  64]],[[84 58 20 72]; [26 66 82 56]],[22 98 74 82],[74 16 72 98]
[18 91],[ 1 37],68,28,[71 58],[80 15],[[76 28 30 78]; [60 66 64 22]],[[42 12  0 50]; [ 8 12 66  6]],[42 78 70 64],[ 46 102  56  70]
[ 9 19],[ 39 104],40,38,[51 68],[94 64],[[98 36 54  4]; [ 0 58 32 28]],[[58  6 94 32]; [70 86 22  8]],[78 10 82 98],[70 92 98 42]
[7 8],[81 90],54,96,[90 17],[74  2],[[92 56 84 30]; [16  6 22 44]],[[ 66  18  54  60]; [102  20 100   8]],[ 82  46  78 102],[14 38  2 60]
[24 43],[66  7],46,72,[100  17],[ 8 75],[[94 40 86 64]; [72 40 50 24]],[[  6  98 104  38]; [ 38  98  62  22]],[98 18 38 16],[48 42 96 86]
[59 27],[22 92],28,68,[47 72],[96 80],[[ 76  52  60 102]; [  6  24  26  14]],[[90  0 86 62]; [26 20 32 98]],[94  2 62 48],[40  2 82 92]
[62 82],[93  9],58,28,[14 70],[100 101],[[ 12   4 100  52]; [ 78 102  50  32]],[[88 96 58 74]; [52 54  4 86]],[20 80 52 54],[76  6 52 62]
[68 78],[33 94],78,88,[50 70],[97 34],[[102  36  54  94]; [ 14  94  28  66]],[[12 48  2 18]; [56 42 62 68]],[ 74  72 104  90],[40 74 18 16]
[70 34],[15  6],42,52,[29 75],[78  9],[[104  16  80  20]; [ 96  68  62  22]],[[20 70 90 68]; [84 74 18 58]],[ 4 28 56 34],[88 92  0 10]
[67 28],[27 92],40,42,[96 26],[81 51],[[100  86  52  62]; [ 34  70   4  96]],[[ 90  38  94   2]; [ 18 100   4  14]],[88 64 66 42],[42 20 10 10]
[ 3 29],[102  81],88,44,[97 20],[12 33],[[ 4 84 98 86]; [78 58 58 32]],[[ 98 104  50  32]; [102  90   6   0]],[38 26 66 26],[ 30  88  44 104]
[99 35],[66 18],68,8,[ 53 100],[95 86],[[26 22  0 72]; [82 88 34 52]],[[62  6 80 90]; [80 54 14  8]],[48 76 58  8],[26 18 56 46]
[67 91],[38 38],74,84,[43 63],[ 73 103],[[ 86  46  84  90]; [104  34  82  36]],[[40 72 32 46]; [54 22 80 62]],[94 30 68 12],[94 88 78 54]
[ 60 101],[91 96],102,84,[92 52],[ 67 100],[[ 62  70  20 100]; [ 18  68  50 102]],[[100   0  52  84]; [ 70  72  10  18]],[38 22  0 90],[16 16  4 60]
[16 88],[28 38],24,6,[96 72],[103  78],[[62 34 30 74]; [66 18 24 70]],[[12 72 50 62]; [62 66 68 88]],[64 54 78 12],[76 72 32 30]
[39 87],[ 39 102],98,66,[78 90],[38 28],[[ 10  64  70 100]; [ 80  60  36  58]],[[88 48 22 64]; [16 84 76 28]],[60 84 14 38],[46 92 44  4]
